Anno,Compresa,Particella,Governo
2016,Fabrizia,8,Fustaia
2016,Fabrizia,10,Fustaia
2016,Fabrizia,11,Fustaia
2016,Fabrizia,11c,Fustaia
2016,Serra,2,Fustaia
2016,Serra,14,Fustaia
2016,Serra,15,Fustaia
2016,Serra,24,Fustaia
2017,Capistrano,12,Fustaia
2017,Capistrano,16,Fustaia
2017,Fabrizia,1,Fustaia
2017,Fabrizia,2,Fustaia
2017,Fabrizia,7,Fustaia
2017,Fabrizia,13,Fustaia
2017,Serra,9,Fustaia
2017,Serra,23,Fustaia
2017,Serra,26,Fustaia
2017,Serra,27,Fustaia
2017,Serra,29,Fustaia
2018,Capistrano,17,Fustaia
2018,Fabrizia,4,Fustaia
2018,Fabrizia,6,Fustaia
2018,Fabrizia,12,Fustaia
2018,Fabrizia,12b,Ceduo
2018,Serra,3,Fustaia
2018,Serra,13,Fustaia
2018,Serra,17,Fustaia
2018,Serra,21,Fustaia
2018,Serra,28,Fustaia
2019,Fabrizia,3,Fustaia
2019,Fabrizia,5,Fustaia
2019,Serra,4,Fustaia
2019,Serra,5,Fustaia
2019,Serra,18,Fustaia
2019,Serra,20,Fustaia
2020,Capistrano,2,Fustaia
2020,Capistrano,3,Fustaia
2020,Capistrano,4,Fustaia
2020,Capistrano,5,Fustaia
2020,Capistrano,11,Fustaia
2020,Capistrano,15,Fustaia
2020,Fabrizia,9,Fustaia
2020,Fabrizia,10,Fustaia
2020,Fabrizia,14,Fustaia
2020,Serra,6,Fustaia
2021,Capistrano,14b,Fustaia
2021,Fabrizia,13,Fustaia
2021,Fabrizia,10b,Ceduo
2021,Fabrizia,14b,Ceduo
2021,Serra,1,Fustaia
2021,Serra,2,Fustaia
2021,Serra,8,Fustaia
2021,Serra,16,Fustaia
2021,Serra,25,Fustaia
2022,Capistrano,8,Fustaia
2022,Capistrano,9,Fustaia
2022,Capistrano,8b,Ceduo
2022,Fabrizia,7b,Ceduo
2022,Serra,7,Fustaia
2022,Serra,12,Fustaia
2022,Serra,22,Fustaia
2022,Serra,23,Fustaia
2023,Capistrano,15,Ceduo
2023,Capistrano,17a,Ceduo
2023,Capistrano,9b,Ceduo
2023,Fabrizia,8,Fustaia
2023,Fabrizia,9b,Ceduo
2023,Serra,11,Fustaia
2023,Serra,24,Fustaia
2023,Serra,10b,Fustaia
2024,Capistrano,14,Fustaia
2024,Capistrano,16a,Fustaia
2024,Capistrano,7b,Ceduo
2024,Fabrizia,6,Fustaia
2024,Fabrizia,7,Fustaia
2024,Fabrizia,12,Fustaia
2024,Fabrizia,13b,Ceduo
2024,Serra,14,Fustaia
2024,Serra,19,Fustaia
2025,Capistrano,1,Fustaia
2025,Capistrano,6,Fustaia
2025,Fabrizia,1,Fustaia
2025,Fabrizia,4,Fustaia
2025,Serra,9,Fustaia
2025,Serra,15,Fustaia
