Genere,Diam base,Diam 130cm,Volume dendrometrico,Volume cormometrico,Altezza indicativa
Abete,11,10,0.045,0.030,8.000
Abete,12,11,0.055,0.045,8.360
Abete,13,12,0.070,0.060,9.026
Abete,14,13,0.090,0.075,10.000
Abete,15,14,0.115,0.098,11.280
Abete,17,15,0.140,0.122,12.500
Abete,18,16,0.169,0.148,13.291
Abete,19,17,0.198,0.174,13.655
Abete,21,18,0.228,0.200,13.663
Abete,22,19,0.258,0.226,13.754
Abete,23,20,0.288,0.252,14.000
Abete,24,21,0.337,0.293,14.402
Abete,26,22,0.386,0.334,14.960
Abete,27,23,0.435,0.376,15.642
Abete,28,24,0.484,0.418,16.266
Abete,29,25,0.533,0.460,16.800
Abete,30,26,0.593,0.511,17.244
Abete,31,27,0.653,0.562,17.599
Abete,33,28,0.713,0.613,17.887
Abete,34,29,0.773,0.664,18.247
Abete,35,30,0.833,0.716,18.700
Abete,37,31,0.911,0.781,19.248
Abete,38,32,0.989,0.846,19.889
Abete,39,33,1.067,0.911,20.610
Abete,40,34,1.145,0.977,21.319
Abete,41,35,1.223,1.043,22.000
Abete,43,36,1.318,1.117,22.654
Abete,44,37,1.413,1.191,23.281
Abete,45,38,1.508,1.265,23.873
Abete,47,39,1.604,1.339,24.382
Abete,48,40,1.700,1.414,24.800
Abete,49,41,1.804,1.514,25.127
Abete,50,42,1.908,1.614,25.364
Abete,52,43,2.012,1.714,25.529
Abete,53,44,2.116,1.814,25.735
Abete,54,45,2.220,1.915,26.000
Abete,55,46,2.328,2.005,26.325
Abete,57,47,2.436,2.123,26.710
Abete,58,48,2.544,2.241,27.146
Abete,59,49,2.652,2.359,27.579
Abete,60,50,2.760,2.477,28.000
Abete,62,51,2.872,2.599,28.409
Abete,63,52,2.984,2.721,28.806
Abete,64,53,3.096,2.843,29.185
Abete,65,54,3.208,2.965,29.519
Abete,66,55,3.320,3.087,29.800
Abete,68,56,3.444,3.202,30.030
Abete,69,57,3.568,3.317,30.208
Abete,70,58,3.692,3.432,30.345
Abete,72,59,3.816,3.547,30.506
Abete,73,60,3.940,3.662,30.700
Abete,74,61,4.074,3.796,30.928
Abete,75,62,4.208,3.930,31.190
Abete,77,63,4.342,4.065,31.479
Abete,78,64,4.476,4.205,31.751
Abete,79,65,4.610,4.335,32.000
Abete,80,66,4.750,4.470,32.225
Abete,81,67,4.890,4.605,32.426
Abete,83,68,5.030,4.740,32.604
Abete,84,69,5.170,4.875,32.762
Abete,85,70,5.310,5.010,32.900
Abete,86,71,5.452,5.146,33.018
Abete,88,72,5.594,5.282,33.117
Abete,89,73,5.736,5.418,33.201
Abete,90,74,5.878,5.554,33.293
Abete,92,75,6.020,5.690,33.400
Abete,93,76,6.193,5.828,33.520
Abete,94,77,6.366,5.966,33.654
Abete,95,78,6.539,6.104,33.796
Abete,97,79,6.712,6.242,33.913
Abete,98,80,6.885,6.380,34.000
Abete,99,81,7.059,6.519,34.056
Abete,100,82,7.133,6.658,34.082
Abete,101,83,7.307,6.797,34.083
Abete,103,84,7.481,6.936,34.087
Abete,104,85,7.755,7.075,34.100
Abete,105,86,7.931,7.217,34.122
Abete,106,87,8.107,7.359,34.152
Abete,108,88,8.283,7.501,34.184
Abete,109,89,8.459,7.644,34.169
Abete,110,90,8.635,7.787,34.100
Abete,111,91,8.818,7.953,33.977
Abete,113,92,9.001,8.119,33.799
Abete,114,93,9.185,8.285,33.577
Abete,115,94,9.369,8.451,33.374
Abete,116,95,9.553,8.617,33.200
Abete,117,96,9.740,8.785,33.054
Abete,119,97,9.927,8.953,32.938
Abete,120,98,10.115,9.121,32.847
Abete,121,99,10.303,9.289,32.769
Abete,122,100,10.491,9.457,32.700
Abete,124,101,10.681,9.645,32.641
Abete,125,102,10.871,9.833,32.591
Abete,126,103,11.061,10.022,32.551
Abete,127,104,11.251,10.211,32.521
Abete,128,105,11.441,10.400,32.500
Faggio,11,10,0.062,0.045,11.000
Faggio,13,11,0.074,0.054,10.873
Faggio,14,12,0.086,0.063,10.859
Faggio,15,13,0.098,0.072,10.959
Faggio,16,14,0.110,0.081,11.173
Faggio,18,15,0.122,0.091,11.500
Faggio,19,16,0.153,0.108,11.941
Faggio,20,17,0.184,0.126,12.495
Faggio,21,18,0.215,0.134,13.146
Faggio,23,19,0.246,0.152,13.786
Faggio,24,20,0.278,0.170,14.400
Faggio,25,21,0.318,0.206,14.986
Faggio,26,22,0.358,0.242,15.546
Faggio,28,23,0.398,0.279,16.075
Faggio,29,24,0.439,0.316,16.561
Faggio,30,25,0.480,0.353,17.000
Faggio,32,26,0.532,0.399,17.393
Faggio,33,27,0.585,0.445,17.739
Faggio,34,28,0.638,0.497,18.046
Faggio,35,29,0.691,0.537,18.364
Faggio,37,30,0.744,0.584,18.700
Faggio,38,31,0.819,0.647,19.054
Faggio,39,32,0.895,0.710,19.426
Faggio,40,33,0.971,0.773,19.814
Faggio,42,34,1.047,0.837,20.206
