Genere,Diam base,Diam 130cm,Volume dendrometrico,Volume cormometrico,Altezza indicativa
Abete bianco,11,10,0.045,0.030,8
Abete bianco,12,11,0.055,0.045,
Abete bianco,13,12,0.070,0.060,
Abete bianco,14,13,0.090,0.075,10
Abete bianco,15,14,0.115,0.098,
Abete bianco,17,15,0.140,0.122,12.5
Abete bianco,18,16,0.169,0.148,
Abete bianco,19,17,0.198,0.174,
Abete bianco,21,18,0.228,0.200,
Abete bianco,22,19,0.258,0.226,
Abete bianco,23,20,0.288,0.252,14
Abete bianco,24,21,0.337,0.293,
Abete bianco,26,22,0.386,0.334,
Abete bianco,27,23,0.435,0.376,
Abete bianco,28,24,0.484,0.418,
Abete bianco,29,25,0.533,0.460,16.8
Abete bianco,30,26,0.593,0.511,
Abete bianco,31,27,0.653,0.562,
Abete bianco,33,28,0.713,0.613,
Abete bianco,34,29,0.773,0.664,
Abete bianco,35,30,0.833,0.716,18.7
Abete bianco,37,31,0.911,0.781,
Abete bianco,38,32,0.989,0.846,
Abete bianco,39,33,1.067,0.911,
Abete bianco,40,34,1.145,0.977,
Abete bianco,41,35,1.223,1.043,22
Abete bianco,43,36,1.318,1.117,
Abete bianco,44,37,1.413,1.191,
Abete bianco,45,38,1.508,1.265,
Abete bianco,47,39,1.604,1.339,
Abete bianco,48,40,1.700,1.414,24.8
Abete bianco,49,41,1.804,1.514,
Abete bianco,50,42,1.908,1.614,
Abete bianco,52,43,2.012,1.714,
Abete bianco,53,44,2.116,1.814,
Abete bianco,54,45,2.220,1.915,26
Abete bianco,55,46,2.328,2.005,
Abete bianco,57,47,2.436,2.123,
Abete bianco,58,48,2.544,2.241,
Abete bianco,59,49,2.652,2.359,
Abete bianco,60,50,2.760,2.477,28
Abete bianco,62,51,2.872,2.599,
Abete bianco,63,52,2.984,2.721,
Abete bianco,64,53,3.096,2.843,
Abete bianco,65,54,3.208,2.965,
Abete bianco,66,55,3.320,3.087,29.8
Abete bianco,68,56,3.444,3.202,
Abete bianco,69,57,3.568,3.317,
Abete bianco,70,58,3.692,3.432,
Abete bianco,72,59,3.816,3.547,
Abete bianco,73,60,3.940,3.662,30.7
Abete bianco,74,61,4.074,3.796,
Abete bianco,75,62,4.208,3.930,
Abete bianco,77,63,4.342,4.065,
Abete bianco,78,64,4.476,4.205,
Abete bianco,79,65,4.610,4.335,32
Abete bianco,80,66,4.750,4.470,
Abete bianco,81,67,4.890,4.605,
Abete bianco,83,68,5.030,4.740,
Abete bianco,84,69,5.170,4.875,
Abete bianco,85,70,5.310,5.010,32.9
Abete bianco,86,71,5.452,5.146,
Abete bianco,88,72,5.594,5.282,
Abete bianco,89,73,5.736,5.418,
Abete bianco,90,74,5.878,5.554,
Abete bianco,92,75,6.020,5.690,33.4
Abete bianco,93,76,6.193,5.828,
Abete bianco,94,77,6.366,5.966,
Abete bianco,95,78,6.539,6.104,
Abete bianco,97,79,6.712,6.242,
Abete bianco,98,80,6.885,6.380,34
Abete bianco,99,81,7.059,6.519,
Abete bianco,100,82,7.133,6.658,
Abete bianco,101,83,7.307,6.797,
Abete bianco,103,84,7.481,6.936,
Abete bianco,104,85,7.755,7.075,34.1
Abete bianco,105,86,7.931,7.217,
Abete bianco,106,87,8.107,7.359,
Abete bianco,108,88,8.283,7.501,
Abete bianco,109,89,8.459,7.644,
Abete bianco,110,90,8.635,7.787,34.1
Abete bianco,111,91,8.818,7.953,
Abete bianco,113,92,9.001,8.119,
Abete bianco,114,93,9.185,8.285,
Abete bianco,115,94,9.369,8.451,
Abete bianco,116,95,9.553,8.617,33.2
Abete bianco,117,96,9.740,8.785,
Abete bianco,119,97,9.927,8.953,
Abete bianco,120,98,10.115,9.121,
Abete bianco,121,99,10.303,9.289,
Abete bianco,122,100,10.491,9.457,32.7
Abete bianco,124,101,10.681,9.645,
Abete bianco,125,102,10.871,9.833,
Abete bianco,126,103,11.061,10.022,
Abete bianco,127,104,11.251,10.211,
Abete bianco,128,105,11.441,10.400,32.5
Faggio,11,10,0.062,0.045,11
Faggio,13,11,0.074,0.054,
Faggio,14,12,0.086,0.063,
Faggio,15,13,0.098,0.072,
Faggio,16,14,0.11,0.081,
Faggio,18,15,0.122,0.091,11.5
Faggio,19,16,0.153,0.108,
Faggio,20,17,0.184,0.126,
Faggio,21,18,0.215,0.134,
Faggio,23,19,0.246,0.152,
Faggio,24,20,0.278,0.17,14.4
Faggio,25,21,0.318,0.206,
Faggio,26,22,0.358,0.242,
Faggio,28,23,0.398,0.279,
Faggio,29,24,0.439,0.316,
Faggio,30,25,0.48,0.353,17
Faggio,32,26,0.532,0.399,
Faggio,33,27,0.585,0.445,
Faggio,34,28,0.638,0.497,
