Particella,Compresa,Area saggio,Genere,D(cm),h(m),Metodo,Campionamento ADS,Fustaia,C-A
28,Serra,1,Castagno,50,24,3p,Parziale,TRUE,Serra-1
28,Serra,1,Abete,84,30,3p,Parziale,TRUE,Serra-1
28,Serra,1,Castagno,66,29,3p,Parziale,TRUE,Serra-1
28,Serra,1,Abete,69,32,3p,Parziale,TRUE,Serra-1
28,Serra,1,Castagno,52,28,3p,Parziale,TRUE,Serra-1
28,Serra,1,Abete,31,27,3p,Parziale,TRUE,Serra-1
28,Serra,1,Abete,49,31,3p,Parziale,TRUE,Serra-1
28,Serra,1,Abete,58,31,3p,Parziale,TRUE,Serra-1
23,Serra,5,Abete,32,31,3p,Parziale,TRUE,Serra-5
23,Serra,5,Faggio,41,27,3p,Parziale,TRUE,Serra-5
23,Serra,5,Abete,59,32,3p,Parziale,TRUE,Serra-5
23,Serra,5,Abete,48,30,3p,Parziale,TRUE,Serra-5
23,Serra,5,Faggio,40,27,3p,Parziale,TRUE,Serra-5
23,Serra,5,Abete,44,32,3p,Parziale,TRUE,Serra-5
23,Serra,5,Abete,46,32,3p,Parziale,TRUE,Serra-5
23,Serra,5,Abete,28,26,3p,Parziale,TRUE,Serra-5
23,Serra,5,Abete,36,32,3p,Parziale,TRUE,Serra-5
14,Serra,7,Abete,53,30,3p,Parziale,TRUE,Serra-7
14,Serra,7,Abete,50,27,3p,Parziale,TRUE,Serra-7
14,Serra,7,Abete,56,32,3p,Parziale,TRUE,Serra-7
14,Serra,7,Abete,35,22,3p,Parziale,TRUE,Serra-7
14,Serra,7,Faggio,15,17,3p,Parziale,TRUE,Serra-7
14,Serra,7,Castagno,33,21,3p,Parziale,TRUE,Serra-7
14,Serra,7,Abete,71,32,3p,Parziale,TRUE,Serra-7
14,Serra,7,Abete,78,34,3p,Parziale,TRUE,Serra-7
14,Serra,8,Faggio,20,16,3p,Parziale,TRUE,Serra-8
14,Serra,8,Faggio,26,24,3p,Parziale,TRUE,Serra-8
