Compresa,Particella,CP,Area saggio,E,N,Quota
Capistrano,1,Capistrano-1,1,616933,4284976,886
Capistrano,1,Capistrano-1,2,616740,4284793,900
Capistrano,1,Capistrano-1,9,617114,4285199,932
Capistrano,10a,Capistrano-10a,34,615455,4283988,770
Capistrano,10b,Capistrano-10b,36,615176,4284019,689
Capistrano,11a,Capistrano-11a,35,615371,4283962,752
Capistrano,11b,Capistrano-11b,32,615569,4284142,760
Capistrano,11b,Capistrano-11b,52,614966,4284169,643
Capistrano,12a,Capistrano-12a,40,615095,4283510,755
Capistrano,12a,Capistrano-12a,41,615102,4283757,687
Capistrano,12a,Capistrano-12a,51,614651,4283905,645
Capistrano,12b,Capistrano-12b,46,614991,4283395,749
Capistrano,13,Capistrano-13,42,614740,4283938,670
Capistrano,14a,Capistrano-14a,47,614157,4283721,619
Capistrano,14b,Capistrano-14b,38,614482,4283609,657
Capistrano,14b,Capistrano-14b,48,613903,4283736,588
Capistrano,14b,Capistrano-14b,49,614065,4283870,609
Capistrano,14b,Capistrano-14b,50,614205,4283975,583
Capistrano,15,Capistrano-15,43,614187,4283503,627
Capistrano,15,Capistrano-15,44,614230,4283526,627
Capistrano,15,Capistrano-15,45,614183,4283328,621
Capistrano,16a,Capistrano-16a,20,614890,4283357,731
Capistrano,16a,Capistrano-16a,37,614767,4283655,718
Capistrano,16a,Capistrano-16a,39,614776,4283766,713
Capistrano,16b,Capistrano-16b,19,614652,4283280,729
Capistrano,16b,Capistrano-16b,21,614900,4283331,746
Capistrano,16b,Capistrano-16b,22,614963,4283387,750
Capistrano,16c,Capistrano-16c,53,615062,4283245,762
Capistrano,17a,Capistrano-17a,18,614329,4283075,632
Capistrano,17b,Capistrano-17b,17,614140,4283209,618
Capistrano,2,Capistrano-2,10,617050,4285451,892
Capistrano,2,Capistrano-2,7,616821,4285132,893
Capistrano,2,Capistrano-2,8,616938,4285350,899
Capistrano,3,Capistrano-3,11,616549,4285031,855
Capistrano,3,Capistrano-3,12,616368,4284729,817
Capistrano,3,Capistrano-3,3,616516,4284468,884
Capistrano,4a,Capistrano-4a,13,616394,4284389,886
Capistrano,4b,Capistrano-4b,28,616149,4284640,802
Capistrano,5a,Capistrano-5a,4,616315,4284121,892
Capistrano,5a,Capistrano-5a,5,616289,4284005,875
Capistrano,5b,Capistrano-5b,23,616023,4284166,817
Capistrano,5b,Capistrano-5b,29,615962,4284298,815
Capistrano,6a,Capistrano-6a,14,616296,4283673,891
Capistrano,6a,Capistrano-6a,6,616108,4283811,830
Capistrano,6b,Capistrano-6b,15,615821,4283902,811
Capistrano,7a,Capistrano-7a,26,615968,4284444,806
Capistrano,7b,Capistrano-7b,27,616192,4284755,789
Capistrano,8a,Capistrano-8a,25,615889,4284262,804
Capistrano,8b,Capistrano-8b,16,615913,4283694,824
Capistrano,8b,Capistrano-8b,24,615982,4284123,819
Capistrano,8b,Capistrano-8b,30,615652,4283973,789
Capistrano,8b,Capistrano-8b,31,615541,4284007,772
Capistrano,9a,Capistrano-9a,27 bis,616119,4284759,789
Capistrano,9b,Capistrano-9b,33,615669,4284300,759
Fabrizia,1,Fabrizia-1,15,609797,4259901,1091
Fabrizia,1,Fabrizia-1,16,610113,4259884,1041
Fabrizia,1,Fabrizia-1,9,609644,4259828,1123
Fabrizia,10a,Fabrizia-10a,20b,611310,4258197,1013
Fabrizia,10a,Fabrizia-10a,30,611425,4257455,1008
Fabrizia,10b,Fabrizia-10b,29,611267,4257766,1033
Fabrizia,10b,Fabrizia-10b,31,611614,4257519,1014
Fabrizia,11a,Fabrizia-11a,27,611488,4257194,1027
Fabrizia,11b,Fabrizia-11b,28,611045,4257249,1053
Fabrizia,11c,Fabrizia-11c,24,610885,4257138,1058
Fabrizia,11c,Fabrizia-11c,25,611282,4256969,1046
Fabrizia,11c,Fabrizia-11c,26,611054,4257110,1054
Fabrizia,12a,Fabrizia-12a,42,612511,4258810,968
Fabrizia,12b,Fabrizia-12b,41,612385,4259043,1000
Fabrizia,13a,Fabrizia-13a,40,612211,4258768,1032
Fabrizia,13b,Fabrizia-13b,39,612290,4258502,940
Fabrizia,13c,Fabrizia-13c,39b,612304,4258497,940
Fabrizia,14a,Fabrizia-14a,38,612166,4257946,998
Fabrizia,14b,Fabrizia-14b,37,611954,4257952,1015
Fabrizia,2,Fabrizia-2,10,610479,4259886,1094
Fabrizia,2,Fabrizia-2,11,610585,4259714,1095
Fabrizia,2,Fabrizia-2,12,610737,4259476,1082
Fabrizia,2,Fabrizia-2,13,610793,4259351,1059
Fabrizia,2,Fabrizia-2,14,610383,4258783,1105
Fabrizia,3,Fabrizia-3,17,610395,4259236,1027
Fabrizia,3,Fabrizia-3,7,609909,4259162,1110
Fabrizia,3,Fabrizia-3,8,609823,4259508,1107
Fabrizia,4,Fabrizia-4,18,610657,4258957,1012
Fabrizia,4,Fabrizia-4,5,610317,4258559,1073
Fabrizia,4,Fabrizia-4,6,610079,4258853,1102
Fabrizia,5a,Fabrizia-5a,19,610925,4258480,1001
Fabrizia,5b,Fabrizia-5b,19b,611078,4258316,1009
Fabrizia,5b,Fabrizia-5b,20,611164,4258299,1009
Fabrizia,6,Fabrizia-6,2,610669,4257652,1052
Fabrizia,6,Fabrizia-6,3,610552,4257922,1061
Fabrizia,6,Fabrizia-6,4,610457,4258180,1064
Fabrizia,7a,Fabrizia-7a,21,611047,4257865,1030
Fabrizia,7b,Fabrizia-7b,19c,611086,4258235,1009
Fabrizia,8,Fabrizia-8,1,610692,4257322,1055
Fabrizia,8,Fabrizia-8,22,610809,4257406,1023
Fabrizia,8,Fabrizia-8,23,610757,4257255,1043
Fabrizia,9a,Fabrizia-9a,32,611889,4257493,987
Fabrizia,9a,Fabrizia-9a,34,611581,4258242,1016
Fabrizia,9a,Fabrizia-9a,36,611939,4257625,1008
Fabrizia,9b,Fabrizia-9b,33,611509,4258326,1013
Fabrizia,9b,Fabrizia-9b,35,611842,4257870,1010
Serra,1,Serra-1,55,613673,4270190,888
Serra,10a,Serra-10a,61,613977,4268812,817
Serra,10a,Serra-10a,62,613795,4269126,826
Serra,10b,Serra-10b,60,614216,4268800,825
Serra,11,Serra-11,33,614015,4268315,831
Serra,11,Serra-11,34,614159,4268400,870
Serra,11,Serra-11,70,613692,4268362,852
Serra,12,Serra-12,42,612347,4267974,1055
Serra,12,Serra-12,44,612611,4268468,906
Serra,12,Serra-12,64,612839,4268486,872
Serra,12,Serra-12,66,613333,4268396,842
Serra,12,Serra-12,67,613477,4268372,852
Serra,12,Serra-12,68,612784,4268118,950
Serra,12,Serra-12,69,612446,4268184,1056
Serra,12,Serra-12,9,612362,4267866,1052
Serra,13,Serra-13,56,612184,4267906,1055
Serra,13,Serra-13,57,612274,4268066,1038
Serra,14,Serra-14,40,612318,4267563,1057
Serra,14,Serra-14,41,612081,4267693,1042
Serra,14,Serra-14,7,612587,4267210,1063
Serra,14,Serra-14,8,611708,4267816,1068
Serra,15,Serra-15,68 bis,612838,4268029,950
Serra,15,Serra-15,9 bis,612516,4267807,1048
Serra,16,Serra-16,31,613665,4267896,850
Serra,16,Serra-16,32,613949,4268110,859
Serra,16,Serra-16,38,613125,4268084,899
Serra,16,Serra-16,39,613817,4268209,828
