compresa,genere,funzione,a,b,r2,n
Capistrano,Abete,ln,6.7939,-2.3156,0.4030,650
Capistrano,Castagno,ln,3.2506,9.9141,0.0900,44
Capistrano,Douglas,ln,5.8604,4.2018,0.2796,80
Capistrano,Faggio,ln,6.3494,3.3667,0.4448,62
Capistrano,Ontano,ln,0.8227,17.3650,0.0193,40
Capistrano,Pino Marittimo,ln,2.5873,10.0745,0.1280,49
Capistrano,Pino Nero,ln,2.6844,15.1603,0.0375,342
Fabrizia,Abete,ln,11.5788,-16.2142,0.5777,325
Fabrizia,Castagno,ln,9.2537,-7.7972,0.2707,39
Fabrizia,Douglas,ln,11.1371,-16.6897,0.5855,80
Fabrizia,Faggio,ln,2.7569,16.9319,0.0850,902
Fabrizia,Pino Nero,ln,0.3191,24.3343,0.0011,240
Serra,Abete,ln,3.5117,18.0676,0.0697,2384
Serra,Castagno,ln,3.6199,16.8329,0.0308,195
Serra,Douglas,ln,-0.5828,34.7848,0.0097,167
Serra,Faggio,ln,1.1079,26.4284,0.0095,335
Serra,Pino Nero,ln,3.6144,19.6062,0.0388,138
