compresa,genere,funzione,a,b,r2,n
Capistrano,Abete,ln,12.2699,-21.0967,0.9675,21
Capistrano,Castagno,ln,8.3515,-8.1756,0.9673,14
Capistrano,Douglas,ln,10.7516,-17.3479,0.8999,21
Capistrano,Faggio,ln,8.0656,-8.3528,0.9498,19
Capistrano,Pino Laricio,ln,3.8818,0.0151,0.9944,29
Capistrano,Pino Nero,ln,3.8818,0.0151,0.9944,29
Fabrizia,Abete,ln,12.2699,-21.0967,0.9675,21
Fabrizia,Castagno,ln,8.3515,-8.1756,0.9673,14
Fabrizia,Douglas,ln,10.7516,-17.3479,0.8999,21
Fabrizia,Faggio,ln,8.0656,-8.3528,0.9498,19
Fabrizia,Pino Laricio,ln,3.8818,0.0151,0.9944,29
Fabrizia,Pino Nero,ln,3.8818,0.0151,0.9944,29
Serra,Abete,ln,12.2699,-21.0967,0.9675,21
Serra,Castagno,ln,8.3515,-8.1756,0.9673,14
Serra,Douglas,ln,10.7516,-17.3479,0.8999,21
Serra,Faggio,ln,8.0656,-8.3528,0.9498,19
Serra,Pino Laricio,ln,3.8818,0.0151,0.9944,29
Serra,Pino Nero,ln,3.8818,0.0151,0.9944,29
