Compresa,Particella,CP,Area (ha),Comparto,Governo,Raggio di saggio (m),AdS / ha,G medio saggi,No. fustaia,No. ceduo,m3 medio saggi,Età media,G/ha nuovo,G/ha vecchio,G particella nuovo,G particella vecchio,m3/ha nuovo,m3/ha vecchio,m3 tot nuovo,m3 tot vecchio,Pv med nuovo,Inc m3 %,pv : inc m3,Pv med vecchio,Incr/ha nuovo,Incr/ha vecchio,Incr tot nuovo,Incr tot vecchio,Ic/ha nuovo,Ic/ha vecchio,Ic tot nuovo,Ic tot vecchio,Prelievo %,Prelievo totale,Prelievo% Marco Malvaso,Provv minima',Provv minima Roberto,Prelievo % Roberto,Prelievo totale Roberto,mc/ha Roberto,Rapporto %,Rapporto mc
Capistrano,1,Capistrano-1,19.00,C,Fustaia,20,8,4.77,5067,0,69.85,70,38.17,41.00,725.19,780.00,558.78,435.88,10616.74,8281.64,2.83,2.55,0.90,2.70,7.98,7.46,151.67,141.78,15.83,11.76,300.72,223.90,25.00,2654.18,,250.00,350.00,15.00,1596.46,1.38,0.60,0.60
Fabrizia,1,Fabrizia-1,22.49,E,Fustaia,20,8,3.18,6537,0,43.81,72,25.47,32.00,572.77,690.00,350.50,353.11,7882.64,7662.41,3.32,2.49,0.75,2.35,4.87,5.86,109.48,127.22,11.64,8.31,261.87,180.24,0.00,0.00,,350.00,,0.00,0.00,,1.00,1.00
Serra,1,Serra-1,7.47,A,Fustaia,20,8,6.23,3526,0,68.53,61,49.84,39.00,372.31,288.00,548.25,489.87,4095.40,3659.36,3.54,3.19,0.90,3.54,8.99,10.03,67.14,74.99,19.42,17.33,145.10,129.47,15.00,614.31,,350.00,,20.00,819.97,0.60,1.33,1.33
Capistrano,10a,Capistrano-10a,3.80,F,Ceduo,20,8,2.05,365,2797,19.53,62,16.37,39.00,62.19,147.00,156.24,430.72,593.70,1636.73,14.55,3.02,0.21,3.09,2.52,8.69,9.58,33.03,22.73,13.31,86.39,50.58,,,,ceduo,,,,,,
Fabrizia,10a,Fabrizia-10a,7.44,A,Fustaia,20,8,5.39,1875,0,83.90,27,43.11,45.00,320.71,350.00,671.21,479.42,4993.81,3739.46,2.01,1.30,0.65,2.26,24.86,7.35,184.96,57.34,13.50,10.83,100.48,84.50,15.00,749.07,,350.00,,15.00,224.72,-469.85,1.00,0.30
Serra,10a,Serra-10a,11.60,F,Ceduo,20,8,1.88,557,23989,17.66,82,15.06,0.00,174.71,0.00,141.28,151.00,1638.83,1751.60,2.00,2.00,1.00,6.95,1.72,8.38,19.99,97.21,2.83,10.50,32.78,121.80,,,,ceduo,,0.00,0.00,,,
Capistrano,10b,Capistrano-10b,13.50,F,Ceduo,20,8,0.58,0,15120,2.07,4,4.62,0.00,62.38,0.00,16.57,32.00,223.74,432.00,2.00,2.00,1.00,21.88,4.14,6.40,55.94,86.40,0.33,13.31,4.47,50.58,,,,ceduo,,,,,,
Fabrizia,10b,Fabrizia-10b,28.04,F,Ceduo,20,8,0.50,0,25685,1.55,3,3.98,13.00,111.47,364.00,12.44,88.00,348.71,2464.00,2.00,2.00,1.00,13.64,4.15,9.77,116.24,273.77,0.25,12.00,6.97,336.00,,,,ceduo,,,,,,
Serra,10b,Serra-10b,32.22,A,Fustaia,20,8,8.42,10826,0,143.13,93,67.35,36.00,2170.13,1170.00,1145.01,469.99,36892.28,15143.03,2.65,2.32,0.87,2.53,12.31,5.80,396.69,186.99,30.36,11.89,978.31,383.04,25.00,9223.07,,350.00,,25.00,9223.30,0.03,1.00,1.00
Serra,11,Serra-11,36.37,A,Fustaia,20,8,7.60,10281,0,101.22,84,60.77,40.00,2210.38,1444.00,809.75,511.86,29450.73,18616.45,3.31,2.51,0.76,2.77,9.64,7.09,350.60,257.95,26.81,14.16,975.18,514.97,25.00,7362.68,,350.00,,25.00,7362.74,0.01,1.00,1.00
