Compresa,Particella,Numero,Genere,Diametro,Altezza,UTMLon,UTMLat,GaussLon,GaussLat,Lon,Lat,Note
Serra,1,1,Abete Bianco,77,,613626,4270291,,,16.304389,38.573818,
Serra,1,2,Abete Bianco,74,,613660,4270243,,,16.304772,38.573381,
Serra,1,3,Abete Bianco,77,,613666,4270191,,,16.304832,38.572912,
Serra,1,4,Abete Rosso,50,,614277,4267417,,,16.311390,38.547841,
Serra,1,5,Abete Rosso,55,,613656,4270111,,,16.304704,38.572193,
Serra,1,6,Abete Bianco,73,,613614,4270093,,,16.304219,38.572036,
Serra,1,7,Abete Bianco,69,,613693,4270086,,,16.305125,38.571963,
Serra,1,8,Douglas,60,,614321,4267394,,,16.311891,38.547628,
Serra,1,9,Douglas,60,,614361,4267377,,,16.312347,38.547470,
Serra,1,10,Douglas,66,,613689,4270051,,,16.305073,38.571648,
Serra,1,11,Douglas,55,,613601,4270163,,,16.304082,38.572668,
Serra,1,12,Abete Bianco,48,,614384,4267202,,,16.312582,38.545890,
Serra,1,13,Faggio,37,,613522,4270137,,,16.303171,38.572444,
Serra,1,14,Larice,40,,613504,4270177,,,16.302971,38.572807,
Serra,1,15,Larice,43,,613601,4270163,,,16.304082,38.572668,
Serra,2,1,Ciliegio,61,,613020,4269058,,,16.297234,38.562787,
Serra,2,2,Douglas,39,,613039,4269064,,,16.297453,38.562838,
Serra,2,3,Ciliegio,35,,613033,4269140,,,16.297397,38.563524,
Serra,2,4,Faggio,62,,613042,4269157,,,16.297503,38.563676,
Serra,2,5,Ciliegio,46,,613033,4269128,,,16.297395,38.563416,
Serra,2,6,Faggio,34,,612941,4268886,,,16.296300,38.561247,
Serra,3,1,Faggio,36,,613106,4269786,,,16.298339,38.569335,
Serra,3,2,Faggio,35,,613083,4269798,,,16.298077,38.569446,
Serra,3,3,Faggio,32,,613057,4269814,,,16.297782,38.569593,
Serra,3,4,Faggio,37,,613023,4269853,,,16.297398,38.569949,
Serra,3,5,Faggio,33,,612991,4269870,,,16.297033,38.570106,
Serra,3,6,Faggio,38,,612951,4269884,,,16.296576,38.570237,
Serra,3,7,Faggio,47,,612931,4269887,,,16.296347,38.570267,
Serra,3,8,Faggio,28,,612906,4269885,,,16.296060,38.570252,
Serra,3,9,Pino Laricio,44,,612849,4269877,,,16.295405,38.570187,
Serra,3,10,Faggio,34,,612818,4269875,,,16.295049,38.570173,
Serra,3,11,Faggio,38,,612787,4269886,,,16.294695,38.570276,
Serra,3,12,Pino Laricio,47,,611778,4269918,,,16.283120,38.570692,
Serra,3,13,Pino Laricio,52,,612706,4249913,,,16.290552,38.390332,
Serra,3,14,Faggio,33,,612609,4269904,,,16.292655,38.570461,
Serra,3,15,Faggio,30,,612614,4269824,,,16.292699,38.569740,
Serra,3,16,Faggio,42,,612623,4269721,,,16.292786,38.568810,
Serra,3,17,Abete Bianco,61,,612623,4269716,,,16.292785,38.568765,
Serra,3,18,Faggio,33,,612635,4269716,,,16.292923,38.568764,
Serra,3,19,Faggio,41,,612635,4269716,,,16.292923,38.568764,
Serra,3,20,Faggio,48,,612640,4226717,,,16.286103,38.181341,
Serra,3,21,Douglas,76,,612635,4269716,,,16.292923,38.568764,
Serra,3,22,Pino Laricio,53,,612643,4269717,,,16.293015,38.568772,
Serra,3,23,Pino Laricio,44,,612651,4269716,,,16.293106,38.568762,
Serra,3,24,Faggio,32,,612681,4269675,,,16.293444,38.568389,
Serra,3,25,Douglas,44,,612720,4269651,,,16.293888,38.568167,
Serra,3,26,Douglas,57,,612745,4269650,,,16.294174,38.568155,
Serra,3,27,Faggio,31,,612815,4269658,,,16.294979,38.568218,
Serra,3,28,Faggio,33,,612842,4269680,,,16.295292,38.568413,
Serra,3,29,Faggio,44,,612868,4269670,,,16.295589,38.568320,
Serra,3,30,Douglas,38,,612878,4269667,,,16.295704,38.568291,
Serra,3,31,Douglas,52,,612878,4269641,,,16.295699,38.568057,
Serra,3,32,Faggio,49,,612941,4269641,,,16.296422,38.568049,
Serra,3,33,Faggio,52,,612952,4269625,,,16.296546,38.567904,
Serra,3,34,Faggio,34,,612964,4269654,,,16.296688,38.568163,
Serra,3,35,Douglas,35,,613008,4266742,,,16.296722,38.541922,
Serra,3,36,Faggio,36,,613010,4269742,,,16.297231,38.568950,
Serra,3,37,Castagno,56,,613012,4269741,,,16.297253,38.568941,
Serra,3,38,Faggio,36,,613023,4269655,,,16.297366,38.568165,
Serra,4,1,Douglas,50,30,612493,4269143,,,16.291201,38.563619,
Serra,4,2,Douglas,53,32,612484,4269152,,,16.291099,38.563701,
Serra,4,3,Abete Bianco,42,29,612483,4269158,,,16.291088,38.563756,
Serra,4,4,Faggio,48,28,612530,4269226,,,16.291639,38.564362,
Serra,4,5,Douglas,53,31,612525,4269236,,,16.291583,38.564453,
Serra,4,6,Douglas,40,29,612508,4269242,,,16.291389,38.564509,
Serra,4,7,Pino Laricio,43,25,612468,4269275,,,16.290935,38.564812,
Serra,4,8,Douglas,38,29,612470,4269300,,,16.290962,38.565037,
Serra,4,9,Abete Bianco,55,28,612468,4269321,,,16.290943,38.565226,
Serra,4,10,Abete Bianco,56,30,612484,4269343,,,16.291130,38.565422,
Serra,4,11,Abete Bianco,46,29,612497,4269356,,,16.291281,38.565538,
Serra,4,12,Faggio,36,23,612568,4269401,,,16.292103,38.565934,
Serra,4,13,Douglas,59,36,612610,4269388,,,16.292583,38.565812,
Serra,4,14,Tasso,33,13,612640,4269360,,,16.292923,38.565556,
Serra,4,15,Douglas,47,35,612651,4269357,,,16.293048,38.565527,
Serra,4,16,Abete Bianco,59,28,612662,4269349,,,16.293173,38.565454,
Serra,4,17,Faggio,32,19,612719,4269362,,,16.293830,38.565564,
Serra,4,18,Pino Laricio,50,23,612722,4269365,,,16.293864,38.565590,
Serra,4,19,Faggio,44,26,612708,4269395,,,16.293709,38.565862,
Serra,4,20,Pino Laricio,50,28,612711,4269408,,,16.293745,38.565979,
Serra,4,21,Douglas,39,32,612716,4269420,,,16.293804,38.566087,
Serra,4,22,Faggio,42,26,612802,4269472,,,16.294800,38.566544,
Serra,4,23,Faggio,28,23,612813,4269474,,,16.294926,38.566561,
Serra,4,24,Abete Bianco,53,29,612819,4269457,,,16.294992,38.566407,
Serra,4,25,Douglas,67,35,612875,4269432,,,16.295631,38.566175,
Serra,4,26,Faggio,44,27,612962,4269435,,,16.296630,38.566191,
Serra,5,1,Abete Bianco,97,,613064,4266610,,,16.297343,38.540725,
Serra,5,2,Douglas,58,,613072,4269575,,,16.297915,38.567438,
Serra,5,3,Abete Bianco,79,,613100,4266554,,,16.297747,38.540216,
Serra,5,4,Faggio,51,,613138,4269559,,,16.298670,38.567285,
Serra,5,5,Abete Bianco,59,,613435,4269380,,,16.302049,38.565635,
Serra,5,6,Abete Bianco,71,,613384,4269420,,,16.301470,38.566002,
Serra,5,7,Abete Bianco,45,,614097,4267628,,,16.309359,38.549765,
