Compresa,Particella,Area saggio,n,poll,D(cm),Classe diametrica,h(m),Genere,Fustaia,G(m2),V(m3),Ipr(mm),c(1/a),Pv(%/a),PvxV(m3/a),,
Capistrano,1,1,1,,58,11,34,Pino Nero,TRUE,0.26,4.49,25,200,1.72,0.08,,
Capistrano,1,1,2,,49,10,34,Abete,TRUE,0.19,3.20,30,200,2.45,0.08,,
Capistrano,1,1,3,,42,8,34,Pino Nero,TRUE,0.14,2.35,25,200,2.38,0.06,,
Capistrano,1,1,4,,55,11,34,Abete,TRUE,0.24,4.04,30,200,2.18,0.09,,
Capistrano,1,1,5,,49,10,34,Pino Nero,TRUE,0.19,3.20,25,200,2.04,0.07,,
Capistrano,1,1,6,,55,11,34,Abete,TRUE,0.24,4.04,30,200,2.18,0.09,,
Capistrano,1,1,7,,51,10,34,Abete,TRUE,0.20,3.47,30,200,2.35,0.08,,
Capistrano,1,1,8,,52,10,34,Abete,TRUE,0.21,3.61,30,200,2.31,0.08,,
Capistrano,1,1,9,,30,6,34,Pino Nero,TRUE,0.07,1.20,25,200,3.33,0.04,,
Capistrano,1,1,10,,30,6,34,Pino Nero,TRUE,0.07,1.20,25,200,3.33,0.04,,
Capistrano,1,1,11,,67,13,34,Abete,TRUE,0.35,5.99,30,200,1.79,0.11,,
Capistrano,1,1,12,,38,7,34,Abete,TRUE,0.11,1.93,30,200,3.16,0.06,,
Capistrano,1,1,13,,25,5,34,Pino Nero,TRUE,0.05,0.83,25,200,4.00,0.03,,
Capistrano,1,1,14,,69,14,34,Douglas,TRUE,0.37,6.35,30,200,1.74,0.11,,
Capistrano,1,1,15,,40,8,34,Pino Nero,TRUE,0.13,2.14,25,200,2.50,0.05,,
Capistrano,1,1,16,,41,8,34,Abete,TRUE,0.13,2.24,30,200,2.93,0.07,,
Capistrano,1,1,17,,28,5,34,Pino Nero,TRUE,0.06,1.05,25,200,3.57,0.04,,
